absolute_magnitude_h,is_sentry_object,relative_velocity_km_per_second,miss_distance_astronomical,orbiting_body,n_approaches,min_miss_distance_au,max_velocity_km_s,semi_major_axis,inclination,perihelion_distance,perihelion_argument,orbit_uncertainty,minimum_orbit_intersection,data_arc_in_days,orbit_class_type,diameter_mean_km,diameter_uncertainty,perihelion_to_aphelion_ratio,threat_ratio,velocity_distance_ratio,observation_reliability,is_potentially_hazardous
18.33,0,8.0099081063,0.0949307651,MARS,2,0.0418776502,8.0099081063,2.157267367226568,6.898187301370815,1.287381967633126,257.8867052542318,0.0,0.301206,8056.0,AMO,0.9279885482,0.7089201683999999,0.4252781629469944,0.3245794364426619,84.37631465270893,0.0,0
26.3,0,13.9737865978,0.3237218567,EARTH,4,0.0346407155,16.8230862847,1.179321850507248,28.17693638059965,1.015080939199413,165.0750124332282,8.0,0.0346282,1.0,APO,0.0236342930499999,0.0180549933,0.7555143444345621,1.4651675819852796,43.16602759000549,8.0,0
27.9,0,6.0154355019,0.0772568932,EARTH,86,0.0041342841,21.5357854242,1.006999291575969,8.861522344015789,0.8057652786564349,284.6929474298972,6.0,0.00284474,4.0,APO,0.01131208385,0.0086416630999999,0.6668954378747921,0.2514779803369297,77.86276735627263,1.5,0
20.54,0,13.348647693,0.1794651703,EARTH,12,0.1794651703,24.1239711751,2.616314989741717,15.05888227232203,0.9534374684974418,88.09875529074066,0.0,0.194029,6379.0,APO,0.33538421375,0.2562107407,0.2228077998476762,0.5785275276690032,74.38015783611914,0.0,0
25.5,0,14.163827399,0.2866709998,EARTH,6,0.0109276628,19.1141467833,1.41531357794246,2.401521856383544,0.9720094675399972,149.5961998721474,7.0,0.00651354,31.0,APO,0.0341619472,0.0260974054,0.5229743984657546,0.1906665320295325,49.40795339912859,0.2258064516129032,0
19.81,0,18.0091291369,0.193383902,EARTH,15,0.0146885633,18.0091291369,1.306325117736701,25.59928397596993,0.9240918625864388,48.17210281973271,0.0,0.00703251,5519.0,APO,0.4693994937,0.3585893046,0.5472667557275499,0.0149819292402019,93.1263096392584,0.0,1
21.34,0,14.34577959,0.1668742592,EARTH,17,0.1585810115,15.5575917848,0.9491407500309926,23.89087120329392,0.6351224127001346,154.6389323284811,0.0,0.158318,7967.0,ATE,0.23202918625,0.1772545255,0.5028047686587194,0.6823193347298134,85.96760014860338,0.0,0
23.79,0,10.2286454894,0.0070689275,EARTH,25,0.0023526216,15.4698058693,1.238690688032532,0.9318310691239662,0.8071668120396963,289.3689862517664,0.0,0.00156405,6381.0,APO,0.07508317285,0.0573584401,0.4832713289808417,0.0208308991300172,1446.9868999788157,0.0,0
21.3,0,9.5073612234,0.4971236918,EARTH,68,0.1592466357,16.5203978739,1.327740793438861,14.40870571827507,1.083328013630996,290.2652690924401,0.0,0.159376,4107.0,AMO,0.23634293085,0.1805499331,0.6890726402725186,0.6743421494639554,19.124739738264072,0.0,0
19.5,0,13.9322980853,0.1364438169,EARTH,14,0.0169123707,22.4079278574,2.425965195766246,6.74534352203585,0.9840373265516934,23.87144550981438,0.0,0.00330365,1377.0,APO,0.5414303753,0.4136160016,0.2544117197708976,0.0061017079031989,102.11014615276422,0.0,1
18.48,0,17.7821246726,0.1589291413,EARTH,26,0.035956854,18.6077317437,1.347339048744495,2.517423303746074,0.7263817537148147,42.7154823895885,0.0,0.0261193,8823.0,APO,0.8660493037000001,0.6616027962000001,0.3690408489617932,0.0301591374629725,111.88712483529916,0.0,1
20.5,0,4.6257036244,0.246976051,EARTH,8,0.2190767138,4.6257036244,2.250050372882813,5.89985474633224,1.226664812280094,339.9128782536775,5.0,0.216556,92.0,AMO,0.3416194718,0.2609740539999999,0.3747331052769221,0.6339100018478513,18.72936102780265,0.0543478260869565,0
