absolute_magnitude_h,estimated_diameter_min_km,is_sentry_object,is_potentially_hazardous,relative_velocity_km_per_second,miss_distance_astronomical,orbiting_body,n_approaches,min_miss_distance_au,max_velocity_km_s,semi_major_axis,eccentricity,inclination,perihelion_distance,aphelion_distance,orbital_period,perihelion_argument,orbit_uncertainty,minimum_orbit_intersection,data_arc_in_days,orbit_class_type,diameter_mean_km,diameter_uncertainty,perihelion_to_aphelion_ratio,threat_ratio,velocity_distance_ratio,observation_reliability
10.39,22.2103282246,0,0,3.9833820614,0.3873137309,EARTH,34,0.1494623094,6.0840524046,1.458120998474684,0.2228359407071628,10.82846651399785,1.13319923411471,1.783042762834657,643.1151986547006,178.9297536744151,0.0,0.148353,46582.0,AMO,35.9370659687,27.453475488199995,0.6355423760634688,0.004128133335348261,10.284639411424491,0.0
15.59,2.0256060086,0,0,3.7527966025,1.8228425763,JUPTR,8,1.3899546731,5.0048424663,2.636590391886659,0.5465958097593554,11.57311101314252,1.195441131629634,4.077739652143683,1563.732363453805,156.1894044965801,0.0,0.201318,41839.0,AMO,3.2774993698,2.5037867223999997,0.2931626914928681,0.06142426810360755,2.058760669348318,0.0
13.82,4.5767266723,0,0,11.268953868,0.1663253087,EARTH,3,0.0821977284,11.268953868,2.473628777428162,0.5711699794573504,9.400059831100009,1.060766279439408,3.886491275416915,1421.020077021162,350.5345010562772,0.0,0.079677,39281.0,AMO,7.405299313,5.657145281399999,0.2729367453232264,0.010759457063420387,67.75249032199753,0.0
9.17,38.9542616126,0,0,15.7498507986,0.0286835134,MARS,5,0.0286835134,15.7498507986,2.664968845537375,0.5332132811917049,26.68073583405932,1.243972063134722,4.085965627940029,1589.046592524006,132.5031170458549,0.0,0.343339,37087.0,AMO,63.02931929585,48.150115366499996,0.3044499578333164,0.0054472903060942025,549.0907121092077,0.0
17.37,0.8923905787,0,0,10.5021443338,0.1704641398,EARTH,20,0.1052770428,11.0809325481,1.919831260906931,0.4346323375284623,11.86882308811668,1.085410512318736,2.754252009495125,971.6123255674621,26.75822531564864,0.0,0.107969,33947.0,AMO,1.44391828755,1.1030554176999998,0.3940854027071038,0.07477500695915332,61.60911231020098,0.0
16.53,1.313877806,0,1,26.254758642,0.1069744924,EARTH,18,0.0395614418,34.1302242146,1.078037837567316,0.8270056908369543,22.8032205675089,0.1864944109615815,1.969581264173051,408.8362849142513,31.43821652068713,0.0,0.0335114,27807.0,APO,2.1258989472,1.6240422823999998,0.0946873400727048,0.015763402133548033,245.43008387296632,0.0
14.54,3.2851482781,0,0,28.335694694,0.172601305,EARTH,7,0.1298026424,28.870736035,2.194974308430543,0.4876044837894818,52.18785378372942,1.124694993837093,3.265253623023992,1187.797997689371,159.7170503829403,0.0,0.132486,26710.0,AMO,5.31548157205,4.0606665879,0.34444337980567,0.02492455259305972,164.1684846704954,0.0
15.26,2.35806068,0,1,12.7193169795,0.0965581486,EARTH,28,0.0333047312,16.73742963,1.245776928227035,0.3355121972778569,13.33579272160444,0.8278035737195235,1.663750282734546,507.8773584592929,277.0183902757898,0.0,0.029359,27264.0,APO,3.8154223277500003,2.9147232955000004,0.4975527771865755,0.007694823135690289,131.72701800850393,0.0
12.79,7.3545308935,0,0,6.7937891208,0.1664701654,EARTH,6,0.1407388669,7.8319947448,1.863058085417717,0.3973228847581744,8.456290877862594,1.122822472447508,2.603293698387925,928.8338191586842,167.83955149727,0.0,0.109225,34962.0,AMO,11.899880957,9.090700127,0.4313084125478464,0.00917866324837051,40.81085102832486,0.0
14.28,3.7030107822,0,0,17.4237264802,0.1765813751,EARTH,30,0.074021259,18.086623434,1.367838675760336,0.4360487430699854,9.381842770107944,0.7713943404725283,1.964283011048144,584.319992305978,127.2752987167369,0.0,0.0510571,28419.0,APO,5.99159730635,4.577173048300001,0.3927103865042906,0.008521450523033113,98.67250422267212,0.0
16.09,1.6089960451,0,1,22.4483430162,0.1750041162,EARTH,22,0.0282672878,23.0318518079,1.470923801396204,0.5599179930527686,6.351390020078344,0.6473270985848925,2.294520504207516,651.6039225864595,286.0509036722041,0.0,0.0260113,34822.0,APO,2.60341028875,1.9888284873000002,0.28211868117886657,0.009991241147198912,128.27322867392076,0.0
15.35,2.2623249055,0,0,18.0439195313,0.1931269221,EARTH,6,0.1742218512,18.0439195313,2.260115813997819,0.6062664652706092,18.37865115954847,0.8898833883431555,3.630348239652482,1241.064828422017,269.0745461694797,0.0,0.18731,28554.0,APO,3.6605185907499997,2.7963873704999997,0.245123423318844,0.05117034522740185,93.43036866686542,0.0
14.83,2.8744514425,0,0,21.33406578,0.1363072863,VENUS,10,0.1227344795,24.0718533382,1.460839442610166,0.6144458277495669,22.21686942864615,0.5632327420863467,2.358446143133986,644.9145218960332,325.6618125430924,0.0,0.269085,20100.0,APO,4.65096013305,3.5530173811,0.2388151808028583,0.05785579585769097,156.51449279861424,0.0
16.77,1.1763998937,0,0,17.3288714227,0.1724555657,EARTH,10,0.1630575672,17.3288714227,1.079973388622895,0.4668604223270595,16.10114472470396,0.5757765563084246,1.584170220937365,409.9378398350536,325.2894601728289,0.0,0.156586,19746.0,APO,1.9034550123999998,1.4541102374,0.3634562427058713,0.08226409291521221,100.48310909747576,0.0
12.48,8.4831076189,0,0,27.2477598403,0.1644897289,EARTH,7,0.1028837399,27.8281414232,1.893371942057028,0.5381206723601982,41.20631191704421,0.8745093595693657,2.91223452454469,951.5953964531133,293.0986339028299,0.0,0.103674,26034.0,APO,13.72595645755,10.4856976773,0.30028809568696735,0.007553134844965491,165.65022036643407,0.0
18.38,0.5604733623,0,0,19.2901073102,0.271991832,EARTH,21,0.0253323011,19.5199994152,2.544841207124704,0.5702246324910014,20.39923864931689,1.093710065044063,3.995972349205345,1482.823497768944,347.7552548641982,0.0,0.108832,24702.0,AMO,0.90686494995,0.6927831753,0.2737031113995477,0.12000904876299437,70.92164190504074,0.0
14.93,2.7450798165,0,0,13.2138250822,0.19121804645,UNKNOWN,0,0.061065185,18.2444330968,2.272666457262222,0.4491761651905701,12.87711754135197,1.251838853231938,3.293494061292506,1251.416797454244,335.8547655144854,0.0,0.252238,26513.0,AMO,4.44163244495,3.3931052568999998,0.38009446197108476,0.05678948069797781,68.06327340734398,0.0
14.38,3.536347843,0,0,14.7525246765,0.0729436118,EARTH,6,0.0729436118,16.4047887324,2.149051318030537,0.5055378329530233,23.95877926109904,1.062624571808541,3.235478064252533,1150.717204490717,194.5525720839079,0.0,0.0717038,26300.0,AMO,5.721931006,4.371166325999999,0.32842892169446086,0.012531398914948748,202.24560194454205,0.0
15.68,1.9433676839,0,0,6.2680792565,0.1481653672,EARTH,12,0.0636292247,7.5421292432,1.430526827855958,0.2559124630361591,8.707703079551061,1.064437183900036,1.79661647181188,624.9459202001517,338.4366184763131,0.0,0.0609274,19417.0,AMO,3.1444349652,2.4021345625999997,0.5924676749882826,0.01937626335869368,42.304617974854246,0.0
13.8,4.6190746028,0,0,13.2138250822,0.19121804645,UNKNOWN,0,0.061065185,18.2444330968,1.70939420463982,0.3647058342943649,26.8699378096214,1.085968165098702,2.332820244180938,816.3225014304115,115.4724980852462,0.0,0.245041,27711.0,AMO,7.473819703899999,5.7094902022,0.46551729298799427,0.03278658165544619,68.06327340734398,0.0
15.28,2.3364418497,0,1,31.2490663858,0.143074735,EARTH,17,0.0297913772,31.7683664407,1.776271506170305,0.6504955479973124,39.82338344197386,0.6208147993720411,2.931728212968569,864.6940102864103,267.8442371583208,0.0,0.00277289,19295.0,APO,3.7804423256,2.8880009518000005,0.21175728248814202,0.0007334829528340735,218.41079339269785,0.0
