threshold,precision,recall,f1,pr_auc,roc_auc,fp,fn,tp,tn,business_cost,meets_objectives
0.18,0.9967845659163987,0.9935897435897436,0.9951845906902087,0.9998092637186773,0.9999789136302295,1,2,310,2887,2020,True
0.19,0.9967845659163987,0.9935897435897436,0.9951845906902087,0.9998092637186773,0.9999789136302295,1,2,310,2887,2020,True
0.2,0.9967845659163987,0.9935897435897436,0.9951845906902087,0.9998092637186773,0.9999789136302295,1,2,310,2887,2020,True
0.21,0.9967845659163987,0.9935897435897436,0.9951845906902087,0.9998092637186773,0.9999789136302295,1,2,310,2887,2020,True
0.22,0.9967845659163987,0.9935897435897436,0.9951845906902087,0.9998092637186773,0.9999789136302295,1,2,310,2887,2020,True
0.23,0.9967845659163987,0.9935897435897436,0.9951845906902087,0.9998092637186773,0.9999789136302295,1,2,310,2887,2020,True
0.24,0.9967845659163987,0.9935897435897436,0.9951845906902087,0.9998092637186773,0.9999789136302295,1,2,310,2887,2020,True
0.1,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.11,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.12,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.13,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.14,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.15,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.16,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.17,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9998092637186773,0.9999789136302295,2,2,310,2886,2040,True
0.25,0.9967741935483871,0.9903846153846154,0.9935691318327974,0.9998092637186773,0.9999789136302295,1,3,309,2887,3020,True
0.26,0.9967741935483871,0.9903846153846154,0.9935691318327974,0.9998092637186773,0.9999789136302295,1,3,309,2887,3020,True
0.27,0.9967741935483871,0.9903846153846154,0.9935691318327974,0.9998092637186773,0.9999789136302295,1,3,309,2887,3020,True
0.28,0.9967741935483871,0.9903846153846154,0.9935691318327974,0.9998092637186773,0.9999789136302295,1,3,309,2887,3020,True
0.31,1.0,0.9871794871794872,0.9935483870967742,0.9998092637186773,0.9999789136302295,0,4,308,2888,4000,True
0.32,1.0,0.9871794871794872,0.9935483870967742,0.9998092637186773,0.9999789136302295,0,4,308,2888,4000,True
0.33,1.0,0.9871794871794872,0.9935483870967742,0.9998092637186773,0.9999789136302295,0,4,308,2888,4000,True
0.34,1.0,0.9871794871794872,0.9935483870967742,0.9998092637186773,0.9999789136302295,0,4,308,2888,4000,True
0.35,1.0,0.9871794871794872,0.9935483870967742,0.9998092637186773,0.9999789136302295,0,4,308,2888,4000,True
0.36,1.0,0.9871794871794872,0.9935483870967742,0.9998092637186773,0.9999789136302295,0,4,308,2888,4000,True
0.29,0.9967637540453075,0.9871794871794872,0.9919484702093397,0.9998092637186773,0.9999789136302295,1,4,308,2887,4020,True
0.3,0.9967637540453075,0.9871794871794872,0.9919484702093397,0.9998092637186773,0.9999789136302295,1,4,308,2887,4020,True
0.37,1.0,0.9839743589743589,0.9919224555735057,0.9998092637186773,0.9999789136302295,0,5,307,2888,5000,True
0.38,1.0,0.9839743589743589,0.9919224555735057,0.9998092637186773,0.9999789136302295,0,5,307,2888,5000,True
0.39,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.4,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.41,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.42,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.43,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.44,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.45,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.46,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.47,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.48,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.49,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.5,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.51,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.52,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.53,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.54,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
